,flux
2242.42888725,30308446.6527
2242.44931927,30310989.506
2242.46975149,
2242.4901836,30311484.0108
2242.51061562,30315364.8784
2242.53104783,30317588.967
2242.55147995,30317747.3913
2242.57191206,30320391.2745
2242.59234418,30317952.5533
2242.61277629,30322376.0424
2242.6332084,30322321.8373
2242.65364051,30322616.3804
2242.67407263,30319081.3743
2242.69450474,30319047.1008
2242.71493695,30320416.8158
2242.73536896,30313521.7242
2242.75580107,30308192.6513
2242.77623328,30302749.699
2242.79666529,30299397.9852
2242.81709739,30298982.5707
2242.8375296,30297560.0634
2242.85796161,30299073.2869
2242.87839382,30295743.6845
2242.89882592,30295455.8325
2242.91925793,30295283.3703
2242.93969013,30292944.3545
2242.96012224,30293121.5331
2242.98055424,30294650.4075
2243.00098644,30297873.0756
2243.02141845,30299913.1267
2243.04185065,30299378.6087
2243.06228275,30300689.0676
2243.08271475,30301343.8993
2243.10314686,30305643.4671
2243.12357906,30305616.973
2243.14401116,30305790.9452
2243.16444316,30308477.457
2243.18487536,30313238.8792
2243.20530745,30323682.929
2243.22573945,30318303.1619
2243.24617165,30321242.6166
2243.26660375,30320296.2901
2243.28703574,30319857.9522
2243.30746794,30318280.333
2243.32790004,30320996.6854
2243.34833203,30321205.6573
2243.36876423,30319516.508
2243.38919632,30316457.5994
2243.40962841,30320349.5617
2243.43006051,30317417.9838
2243.4504926,30315697.4086
2243.47092469,30315957.8633
2243.49135678,30317403.6857
2243.51178887,30317128.543
2243.53222096,30320799.0237
2243.55265315,30321869.1841
2243.57308514,30319090.072
2243.59351733,30320021.6571
2243.61394942,30316918.1472
2243.63438141,30313009.4936
2243.6548136,30310835.9417
2243.67524569,30309827.5091
2243.69567767,30319233.3042
2243.71610986,30310585.0976
2243.73654184,30309420.2293
2243.75697393,30306384.62
2243.77740611,30303443.5811
2243.7978381,30301566.3864
2243.81827018,30298594.8209
2243.83870237,30297263.7739
2243.85913435,30291639.9395
2243.87956643,30287701.6114
2243.89999861,30290019.9315
2243.92043059,30292959.9622
2243.94086267,30293092.6123
2243.96129485,30298877.1525
2243.98172693,30303009.2486
2244.00215891,30306788.7108
2244.02259109,30308160.3741
2244.04302317,30313054.333
2244.06345515,30317710.852
2244.08388733,30321038.1759
2244.1043194,30317759.6125
2244.12475138,30314178.7279
2244.14518356,30321023.4898
2244.16561563,30320667.7952
2244.18604761,30309287.4282
2244.20647978,30316146.7157
2244.22691185,30322646.423
2244.24734403,30334245.0285
2244.267776,30325054.9158
2244.28820807,30325754.2575
2244.30864024,30323453.8588
2244.32907222,30321428.4867
2244.34950429,30322865.0986
2244.36993646,30325544.6811
2244.39036853,30325842.2027
2244.4108005,30329887.9578
2244.43123267,
2244.45166474,30309221.6663
2244.4720967,30306108.5253
2244.49252887,30303648.4765
2244.51296084,30306138.7283
2244.5333929,30307302.2732
2244.55382507,30310632.0825
2244.57425704,30310784.6562
2244.5946891,30309222.2835
2244.61512127,30313220.2639
2244.63555323,30315653.7522
2244.65598529,30313189.5216
2244.67641746,30313885.8173
2244.69684942,30295116.2356
2244.71728148,30292731.5987
2244.73771364,30296033.9787
2244.75814561,30297498.5775
2244.77857767,30305421.0145
2244.79900983,30308263.6571
2244.81944189,30307164.5045
2244.83987385,30309352.8346
2244.860306,30316460.2232
2244.88073806,30322343.3723
2244.90117002,30325413.8689
2244.92160218,30321255.1241
2244.94203423,30305351.6708
2244.96246639,30307760.1904
2244.98289835,30312475.6095
2245.0033304,30315585.8408
2245.02376256,30317958.5319
2245.04419451,30322639.1191
2245.06462657,30324565.9029
2245.08505872,30328686.7782
2245.10549067,30322729.742
2245.12592273,30323069.2917
2245.14635488,30323358.1014
2245.16678683,30324155.3086
2245.18721888,30320434.9405
2245.20765103,30316801.1277
2245.22808298,30310334.9637
2245.24851503,30307289.0786
2245.26894718,30310994.3465
2245.28937913,30311084.0219
2245.30981118,30314971.9819
2245.33024332,30315857.6202
2245.35067527,30317391.0778
2245.37110732,30325069.2861
2245.39153947,30329345.0123
2245.41197141,30317418.1316
2245.43240346,30310473.6537
2245.4528356,30310345.1044
