pl_hostname,pl_letter,pl_discmethod,pl_disc,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_radjerr1,pl_radjerr2,pl_dens,pl_trandep,pl_instrument,pl_insol,pl_eqt,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbpererr1,pl_orbpererr2,st_optmag,ra,dec,st_dist,st_teff,st_mass,st_rad,st_plx,gaia_plx,gaia_dist,st_pm,gaia_pm,st_radv,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_age,st_acts,st_bmvj,st_jmh2,pl_instrument,pl_telescope,rowupdate,st_nplc,pl_def_refname,pl_disc_refname,pl_pelink,st_j,st_h,st_k
Kepler-183,b,Transit,2014,2,5.68794500,0.064000,,,,0.184,0.079,-0.079,,,Kepler CCD Array,,,,,,,0.00002000,-0.00002000,14.943,293.530848,39.315898,,5888.00,,0.96,,,,7.400,,,,4.50,,,0.026,,,,0.342,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-183_b/,13.726,13.384,13.308
Kepler-183,c,Transit,2014,2,11.63707100,0.103000,,,,0.203,0.087,-0.087,,,Kepler CCD Array,,,,,,,0.00005500,-0.00005500,14.943,293.530848,39.315898,,5888.00,,0.96,,,,7.400,,,,4.50,,,0.026,,,,0.342,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-183_c/,13.726,13.384,13.308
Kepler-184,b,Transit,2014,3,10.68757600,0.092000,,,,0.211,0.119,-0.119,,,Kepler CCD Array,,,,,,,0.00002500,-0.00002500,14.338,291.951908,43.074715,,5788.00,,0.87,,,,,,,,4.51,,,-0.338,,,,0.348,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-184_b/,13.100,12.752,12.690
Kepler-184,c,Transit,2014,3,20.30300500,0.141000,,,,0.176,0.099,-0.099,,,Kepler CCD Array,,,,,,,0.00008700,-0.00008700,14.338,291.951908,43.074715,,5788.00,,0.87,,,,,,,,4.51,,,-0.338,,,,0.348,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-184_c/,13.100,12.752,12.690
Kepler-184,d,Transit,2014,3,29.02235800,0.179000,,,,0.222,0.126,-0.126,,,Kepler CCD Array,,,,,,,0.00017600,-0.00017600,14.338,291.951908,43.074715,,5788.00,,0.87,,,,,,,,4.51,,,-0.338,,,,0.348,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-184_d/,13.100,12.752,12.690
Kepler-185,b,Transit,2014,2,1.63290000,0.026000,,,,0.104,0.060,-0.060,,,Kepler CCD Array,,,,,,,0.00000500,-0.00000500,14.458,282.468103,43.889915,,5208.00,0.79,0.81,,,,,,,,4.54,,,-0.051,,,,0.463,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-185_b/,13.050,12.587,12.515
Kepler-185,c,Transit,2014,2,20.72904200,0.139000,,,,0.180,0.104,-0.104,,,Kepler CCD Array,,,,,,,0.00009700,-0.00009700,14.458,282.468103,43.889915,,5208.00,0.79,0.81,,,,,,,,4.54,,,-0.051,,,,0.463,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-185_c/,13.050,12.587,12.515
Kepler-186,c,Transit,2014,5,7.26730200,0.045100,,,,0.112,0.012,-0.012,,,Kepler CCD Array,,,,,,,0.00001200,-0.00001100,14.625,298.652714,43.955017,172.00,3755.00,0.54,0.52,,,,,,,M1,4.74,-1.260,5.2900,-0.260,4.000,,,0.649,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Quintana et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-186_c/,12.473,11.824,11.605
Kepler-186,d,Transit,2014,5,13.34299600,0.078100,,,,0.125,0.014,-0.014,,,Kepler CCD Array,,,,,,,0.00002500,-0.00002400,14.625,298.652714,43.955017,172.00,3755.00,0.54,0.52,,,,,,,M1,4.74,-1.260,5.2900,-0.260,4.000,,,0.649,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Quintana et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-186_d/,12.473,11.824,11.605
Kepler-186,e,Transit,2014,5,22.40770400,0.110000,,,,0.113,0.013,-0.012,,,Kepler CCD Array,,,,,,,0.00007400,-0.00007200,14.625,298.652714,43.955017,172.00,3755.00,0.54,0.52,,,,,,,M1,4.74,-1.260,5.2900,-0.260,4.000,,,0.649,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Quintana et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-186_e/,12.473,11.824,11.605
